Latitude,Longitude,Tweets
8,81, Thank you for the update. Guess I will wait and wait and wait. Perhaps I will go to Singapore to get my vaccine'
8,82,"Will I have to wear a mask after getting the COVID19 vaccine? [The Answer, for now, is Yes] "
8,82,RT : Received 1st dose Covishield vaccine. Process: PHI informed location. Queued 8.30. Staff and public relaxed. Signed consent'
8,82,RT : Received 1st dose Covishield vaccine. Process: PHI informed location. Queued 8.30. Staff and public relaxed. Signed consent'
8,82,Received 1st dose Covishield vaccine. Process: PHI informed location. Queued 8.30. Staff and public relaxed. Signed consent form. Registered details. Received jab 9.45. Waited precautionary 20 mins. Told to take paracetamol for fever and avoid heaty' foods. No next date specified. 
8,82,Am hearing anecdotal account of people who are reluctant to have vaccine because they are worried about what they have heard about side-effects like fever. Need much more communication about risks from these Vs getting/spreading COVID19.   _SriLanka 
8,93,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,93,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,93,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,93,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,93,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,93,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,93,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,93,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,93,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,93,"AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspector was given the 1st  vaccine in PBMC followed by the Safaikaramcharis.CoWIN "
8,94,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,94,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,94,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,94,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,94,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,94,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,94,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,94,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,94,"RT _ANI: AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspecto'"
8,94,"AndamanFightsCOVID19COVID19 Vaccination administered to the PBMC FRONTLINE WORRIORS. Shri. Satish Kumar, Sanitary Inspector was given the 1st  vaccine in PBMC followed by the Safaikaramcharis.CoWIN "
8,97,RT : Hong Kong begins coronavirus vaccination with Chinaand39;s Sinovac | Covid vaccine update | English News: A PHP Error w'
8,97,Hong Kong begins coronavirus vaccination with Chinaand39;s Sinovac | Covid vaccine update | English News: A PHP Error was encountered Severity: Notice Message: Undefined property: stdClass::$detail Filename: frontend/page.rss.php Line Number: 28 
8,97,RT : @21WIRE Vaccine taker = Russian Roulette player'
8,97,RT : NEWSCENTER [FULL]: First recipient group receives COVID-19 vaccine in S. Korea: A PHP Error was encountered Severity:'
8,97,NEWSCENTER [FULL]: First recipient group receives COVID-19 vaccine in S. Korea: A PHP Error was encountered Severity: Notice Message: Undefined property: stdClass::$detail Filename: frontend/page.rss.php Line Number: 28 Backtrace: File: 
8,97,RT : Novavax and Takeda Finalize License Agreement for Novavax' COVID-19 Vaccine Candidate in Japan; TakedaInitiates Phase'
8,97,Novavax and Takeda Finalize License Agreement for Novavax' COVID-19 Vaccine Candidate in Japan; TakedaInitiates Phase 1/2 Trial in Japan: A PHP Error was encountered Severity: Notice Message: Undefined property: stdClass::$detail Filename: 
8,97,RT : @21WIRE Vaccine taker = Russian Roulette player'
8,97,RT : @21WIRE Vaccine taker = Russian Roulette player'
8,97,RT : @21WIRE Vaccine taker = Russian Roulette player'
8,97,@21WIRE Vaccine taker = Russian Roulette player'
8,97,"Put your fucking face mask on and shut your punk fucking mouth up...Take your vaccine and die mother fuckers....you are all nothing but useless eaters and have no value whatsoever in this life. Your deaths are more than welcomed by me, bunch of fucking cattle'"
8,97,"_  _Politic They should stamp your passport saying you had the vaccine, then countries can refuse entry of people who do NOT have the vaccine stamp in their passport.'"
8,97,"Nine high-risk provinces to receive the first lot of 200,000 doses of Sinovac vaccine. Bangkok and eight other provinces with high incidence of COVID-19 infections wil.... "
8,97,RT : Wealthy countries consider vaccine passports' for free flow of travel: A PHP Error was encountered Severity: Notice M'
8,97,Wealthy countries consider vaccine passports' for free flow of travel: A PHP Error was encountered Severity: Notice Message: Undefined property: stdClass::$detail Filename: frontend/page.rss.php Line Number: 28 Backtrace: File: 
8,97,Interesting article: the idea of vaccination passports could end up damaging tourism-dependent destinations such as Thailand 
8,97,"  Nah sorry, this fool needs to go. No body in normal realms of society would get away with breaking the law. The only thing handled well by his team is the vaccine roll out. But let's be honest that isn't him really again it's all the frontline workers. Get rid'"
9,76,"UN chief Antonio Guterres voices appreciation for India's leadership in fight against COVID-19, vaccine assistance"
9,76,  They do but they don't kill. 
9,77,"UN chief Antonio Guterres voices appreciation for India's leadership in fight against COVID-19, vaccine assistance"
9,77,  They do but they don't kill. 
9,78,RT : Put the vaccine in pan masala and whole north India will be vaccinated by evening.'
9,78,RT : Put the vaccine in pan masala and whole north India will be vaccinated by evening.'
9,78,_Updatez Covid vaccine is not approved for under 18 right?'
10,76,"CanSino's adenovirus vector vaccine results from Pakistan are excellent. In the Pakistani subset, efficacy at preventing symptomatic cases was 74.8% and 100% at preventing severe disease. There were 30,000 participants and 101 COVID cases. Thank you Dr Faisal Sultan  "
10,76,Chinese adenovirus vector vaccine manufacturers CanSino report 95.47% efficacy at preventing severe disease 14 days after single dose vaccination. Overall efficacy for symptomatic disease is in the mid 60's.  
10,76,"COVID19: WHO chief thanks India, PM Modi for sharing vaccine with over 60 nations'"
10,76,"RT : Covaxin is unfairly criticised -mainly by those who subscribe to 'WhatApp university'In fact, a whole virus inactiva'"
10,76,"RT : Covaxin is unfairly criticised -mainly by those who subscribe to 'WhatApp university'In fact, a whole virus inactiva'"
10,76,Got first dose of covidsheild vaccine. 
10,76,RT : Sinopharm makes 2 inactivated virus vaccines BBIBP-CoV (Beijing) and WIV04 (Wuhan) (BPL/alum).The Wuhan unit has just a'
10,76,Sinopharm makes 2 inactivated virus vaccines BBIBP-CoV (Beijing) and WIV04 (Wuhan) (BPL/alum).The Wuhan unit has just announced 72.5% efficacy in a brief press release.The Beijing unit had announced 79.3% as interim of P3 trials. UAE had said 86% earlier. 
10,76,Moderna's Covid Deals Top $18 Billion; Medical Chief Exits 
10,76,   It is not about India or 'indigenous vaccine'. Immunity is such a deep subject it is not easy to explain it here. That's why I said if you wish to discuss you can contact me.'
10,76,"RT : Covaxin is unfairly criticised -mainly by those who subscribe to 'WhatApp university'In fact, a whole virus inactiva'"
10,76,"Covaxin is unfairly criticised -mainly by those who subscribe to 'WhatApp university'In fact, a whole virus inactivated vaccine that generates the right kind of T cell response (and antibodies) is the need of the hour - for long term.My comment in   "
10,76,"RT : The disease curves diverge past day 12 of the 1st dose of vaccine, which is about the time immunity starts kicking in.'"
10,76,BEWARE OF THE COVID VACCINE..... 
10,76,"Johnson and Johnson covid vaccine gets closer to the approval. Unlike other vaccines, 1. this is a one shot vaccine2. it's easier to store and transport as it does not require extremely cold conditions for storage.This is most likely to be approved in a week or two. "
10,76,"The disease curves diverge past day 12 of the 1st dose of vaccine, which is about the time immunity starts kicking in. In other words, for the 1st 12 days, those who had vaccine have the same risk as those who didn't get the vaccine. Thread by @_MiguelHernan, one of the authors. "
10,76,he Centre on Wednesday announced that people over 60 years and those above 45 with comorbidities can get COVID-19 vaccine from March 1.
10,76,The largest published series for preventing severe COVID-19 with vaccine. 229 cases in Israel: 55 in the vaccinated vs. 174 in the unvaccinated group. Efficacy 62% for day 14-20 after 1st dose and 92% for &gt;6 days after 2nd dose Pfizer vaccine. 
10,76,Moderna sends new version of its vaccine (modified to target 501Y.V2 variant from South Africa) to National Institutes of Health for testing.  
10,76,RT : Is a single vaccine dose enough? Dr Collins presents some early thought processes in that direction. Those who had p'
10,76,RT : Involve private sector to accelerate the COVID19 vaccination drive CPPRIndia vaccine
10,76,"RT : 'While vaccination is a public good and bestows responsibility on the govt, greater the availability of vaccine in a deregula'"
10,76,Has anyone experienced INCREASED appetite for a few days after COVID vaccine? There are several anecdotal reports. Please reply to this tweet with details.  
10,76,"RT : 'While vaccination is a public good and bestows responsibility on the govt, greater the availability of vaccine in a deregula'"
10,76,"Is a single vaccine dose enough? Dr Collins presents some early thought processes in that direction. Those who had prior infection generate a lot more antibodies - as expected. But this is not a known marker of duration of protection, as T cell immunity plays a dominant role. "
10,76,"'While vaccination is a public good and bestows responsibility on the govt, greater the availability of vaccine in a deregulated space, closer we get to the intended outcomes' writes  and @_insamtweets_ The article as published on : "
10,76,RT : Involve private sector to accelerate the COVID19 vaccination drive CPPRIndia vaccine
10,76,RT : Background rate denotes how commonly certain diseases occur in a population. Knowing this is important during a vaccin'
10,76,"Background rate denotes how commonly certain diseases occur in a population. Knowing this is important during a vaccination program, to see if the OBSERVED event rates are the same as EXPECTED. If event rate is greater than expected, then it could be the result of vaccine.2/2'"
10,76,Is Cervical Cancer preventable? There is a vaccine for cervical cancer. The vaccine is administered in two doses to pubescent girls aged between 9-15 and three doses to girls and women aged 16-26. 
10,76," A single dose might suffice for those who already had COVID-19 earlier. As you said it works like a booster. But the real question is whether a single dose alone could provide durable immunity for all, as in JandJ vaccine which is similar to Astra vaccine but with human adenovirus.'"
10,76,"From March 1, people above 60 years of age and those above 45 years of age with comorbidities will be vaccinated at 10,000 govt and over 20,000 private vaccination centres. The vaccine will be given free of cost at govt centres'"
10,76,Involve private sector to accelerate the COVID19 vaccination drive CPPRIndia vaccine
10,76,RT : My article on covaxin in simple Q/A format for the common man. This is in Malayalam.  ? 
10,76,RT : My article on covaxin in simple Q/A format for the common man. This is in Malayalam.  ? 
10,76,RT : 1   I agree with Dr.Prasanna Simha. The nonsense that's being spread on Vaccine is so'
10,76,RT : 1   I agree with Dr.Prasanna Simha. The nonsense that's being spread on Vaccine is so'
10,76,"1   I agree with Dr.Prasanna Simha. The nonsense that's being spread on Vaccine is so insiduous, I found some in my friend circle spouting nonsense.The poor are being totally misled. I did a dipstick amongst maids in relatives houses in Kerala and TN, except 1, 8 said they won't take'"
10,76,RT : Kerala elections: Officials on poll duty start receiving vaccine for Covid_19. KeralaElection2021  
10,76,SHAMELESS MINISTERS...WITH THE CROOKED CORONA VACCINE MAKER. 
10,77,"CanSino's adenovirus vector vaccine results from Pakistan are excellent. In the Pakistani subset, efficacy at preventing symptomatic cases was 74.8% and 100% at preventing severe disease. There were 30,000 participants and 101 COVID cases. Thank you Dr Faisal Sultan  "
10,77,Chinese adenovirus vector vaccine manufacturers CanSino report 95.47% efficacy at preventing severe disease 14 days after single dose vaccination. Overall efficacy for symptomatic disease is in the mid 60's.  
10,77,"COVID19: WHO chief thanks India, PM Modi for sharing vaccine with over 60 nations'"
10,77,"RT : Covaxin is unfairly criticised -mainly by those who subscribe to 'WhatApp university'In fact, a whole virus inactiva'"
10,77,"RT : Covaxin is unfairly criticised -mainly by those who subscribe to 'WhatApp university'In fact, a whole virus inactiva'"
10,77,Got first dose of covidsheild vaccine. 
10,77,RT : Sinopharm makes 2 inactivated virus vaccines BBIBP-CoV (Beijing) and WIV04 (Wuhan) (BPL/alum).The Wuhan unit has just a'
10,77,Sinopharm makes 2 inactivated virus vaccines BBIBP-CoV (Beijing) and WIV04 (Wuhan) (BPL/alum).The Wuhan unit has just announced 72.5% efficacy in a brief press release.The Beijing unit had announced 79.3% as interim of P3 trials. UAE had said 86% earlier. 
10,77,Moderna's Covid Deals Top $18 Billion; Medical Chief Exits 
10,77,   It is not about India or 'indigenous vaccine'. Immunity is such a deep subject it is not easy to explain it here. That's why I said if you wish to discuss you can contact me.'
10,77,"RT : Covaxin is unfairly criticised -mainly by those who subscribe to 'WhatApp university'In fact, a whole virus inactiva'"
10,77,"Covaxin is unfairly criticised -mainly by those who subscribe to 'WhatApp university'In fact, a whole virus inactivated vaccine that generates the right kind of T cell response (and antibodies) is the need of the hour - for long term.My comment in   "
10,77,"RT : The disease curves diverge past day 12 of the 1st dose of vaccine, which is about the time immunity starts kicking in.'"
10,77,BEWARE OF THE COVID VACCINE..... 
10,77,"Johnson and Johnson covid vaccine gets closer to the approval. Unlike other vaccines, 1. this is a one shot vaccine2. it's easier to store and transport as it does not require extremely cold conditions for storage.This is most likely to be approved in a week or two. "
10,77,"The disease curves diverge past day 12 of the 1st dose of vaccine, which is about the time immunity starts kicking in. In other words, for the 1st 12 days, those who had vaccine have the same risk as those who didn't get the vaccine. Thread by @_MiguelHernan, one of the authors. "
10,77,he Centre on Wednesday announced that people over 60 years and those above 45 with comorbidities can get COVID-19 vaccine from March 1.
10,77,The largest published series for preventing severe COVID-19 with vaccine. 229 cases in Israel: 55 in the vaccinated vs. 174 in the unvaccinated group. Efficacy 62% for day 14-20 after 1st dose and 92% for &gt;6 days after 2nd dose Pfizer vaccine. 
10,77,Moderna sends new version of its vaccine (modified to target 501Y.V2 variant from South Africa) to National Institutes of Health for testing.  
10,77,RT : Is a single vaccine dose enough? Dr Collins presents some early thought processes in that direction. Those who had p'
10,77,RT : Involve private sector to accelerate the COVID19 vaccination drive CPPRIndia vaccine
10,77,"RT : 'While vaccination is a public good and bestows responsibility on the govt, greater the availability of vaccine in a deregula'"
10,77,Has anyone experienced INCREASED appetite for a few days after COVID vaccine? There are several anecdotal reports. Please reply to this tweet with details.  
10,77,"RT : 'While vaccination is a public good and bestows responsibility on the govt, greater the availability of vaccine in a deregula'"
10,77,"Is a single vaccine dose enough? Dr Collins presents some early thought processes in that direction. Those who had prior infection generate a lot more antibodies - as expected. But this is not a known marker of duration of protection, as T cell immunity plays a dominant role. "
10,77,"'While vaccination is a public good and bestows responsibility on the govt, greater the availability of vaccine in a deregulated space, closer we get to the intended outcomes' writes  and @_insamtweets_ The article as published on : "
10,77,RT : Involve private sector to accelerate the COVID19 vaccination drive CPPRIndia vaccine
10,77,RT : Background rate denotes how commonly certain diseases occur in a population. Knowing this is important during a vaccin'
10,77,"Background rate denotes how commonly certain diseases occur in a population. Knowing this is important during a vaccination program, to see if the OBSERVED event rates are the same as EXPECTED. If event rate is greater than expected, then it could be the result of vaccine.2/2'"
10,77,Is Cervical Cancer preventable? There is a vaccine for cervical cancer. The vaccine is administered in two doses to pubescent girls aged between 9-15 and three doses to girls and women aged 16-26. 
10,77," A single dose might suffice for those who already had COVID-19 earlier. As you said it works like a booster. But the real question is whether a single dose alone could provide durable immunity for all, as in JandJ vaccine which is similar to Astra vaccine but with human adenovirus.'"
10,77,"From March 1, people above 60 years of age and those above 45 years of age with comorbidities will be vaccinated at 10,000 govt and over 20,000 private vaccination centres. The vaccine will be given free of cost at govt centres'"
10,77,Involve private sector to accelerate the COVID19 vaccination drive CPPRIndia vaccine
10,77,RT : My article on covaxin in simple Q/A format for the common man. This is in Malayalam.  ? 
10,77,RT : My article on covaxin in simple Q/A format for the common man. This is in Malayalam.  ? 
10,77,RT : 1   I agree with Dr.Prasanna Simha. The nonsense that's being spread on Vaccine is so'
10,77,RT : 1   I agree with Dr.Prasanna Simha. The nonsense that's being spread on Vaccine is so'
10,77,"1   I agree with Dr.Prasanna Simha. The nonsense that's being spread on Vaccine is so insiduous, I found some in my friend circle spouting nonsense.The poor are being totally misled. I did a dipstick amongst maids in relatives houses in Kerala and TN, except 1, 8 said they won't take'"
10,77,RT : Kerala elections: Officials on poll duty start receiving vaccine for Covid_19. KeralaElection2021  
10,77,SHAMELESS MINISTERS...WITH THE CROOKED CORONA VACCINE MAKER. 
10,78,Covid19 | A single dose of Pfizer and BioNTech SE's COVID-19 vaccine could significantly reduce the risk of transmission of the virus: UK Study.Pfizer COVID19Vaccine BioNTech Health'
10,78,WHO chief thanks PM Modi for sharing Covid vaccine doses under COVAX programme
10,78,WHO chief thanks PM Modi for sharing Covid vaccine doses under COVAX programme
10,78,Taking COVID vaccine may prevent you from entering China: Report 
10,78,"People above 45 years with comorbidities will need doctor certificate, says task force member "
10,78,"From March 1, Indians above the age of 60 and those above 45 years of age with co-morbidity will get access to the COVID19 vaccine. Coronavirus COVIDVaccine COVIDVaccineRace'"
10,78,"RT : UN chief Antonio Guterres voices appreciation for India's leadership in fight against COVID-19, vaccine assistance"
10,78,"India: Over 3 lakh beneficiaries receive 2nd vaccine dose, tally reaches 1.14 crore. IndiaFightsCorona "
10,78,"RT : Bharat Biotech to come up with Phase-3 efficacy data of Covaxin in next two weeks, company to ramp up its production capacit'"
10,78,"RT : Bharat Biotech to come up with Phase-3 efficacy data of Covaxin in next two weeks, company to ramp up its production capacit'"
10,78,"RT : Bharat Biotech to come up with Phase-3 efficacy data of Covaxin in next two weeks, company to ramp up its production capacit'"
10,78,"RT : Bharat Biotech to come up with Phase-3 efficacy data of Covaxin in next two weeks, company to ramp up its production capacit'"
10,78,"Bharat Biotech to come up with Phase-3 efficacy data of Covaxin in next two weeks, company to ramp up its production capacity to 40 million doses per month. Covax Covaxin Covid19 vaccine'"
10,78,"UN chief Antonio Guterres voices appreciation for India's leadership in fight against COVID-19, vaccine assistance"
10,78,Pharma wrap: Why India should consider extension of interval between two doses of Covishield vaccine 
10,78,"India has been a global leader in pandemic response efforts having provided critical medicines, diagnostic kits, ventilators and PPE to over 150 countries, says UN chief Antonio Guterres.COVID19 Coronavirus Vaccine'"
10,78,"India gives 1 crore+ vaccine jabs in 34 days, 2nd fastest after US"
10,78,The Frontline warriors of MaduraiAirport (CISF) recieved their first shot of COVID19 vaccine.The vaccine will be given in different batches to all the CISF personnel.vaccineaaicaresIndiaFightsCorona COVID19 medicine _Official   
10,78,Sri Lanka to procure 10 million doses of COVID-19 vaccine from India: Official 
10,78,"A new Correspondence reports early findings from a study of the Pfizer vaccine in health-care workers in Israel, suggesting early reductions in COVID-19 infection and symptomatic rates following first dose. Read "
10,79,Covid19 | A single dose of Pfizer and BioNTech SE's COVID-19 vaccine could significantly reduce the risk of transmission of the virus: UK Study.Pfizer COVID19Vaccine BioNTech Health'
10,79,WHO chief thanks PM Modi for sharing Covid vaccine doses under COVAX programme
10,79,WHO chief thanks PM Modi for sharing Covid vaccine doses under COVAX programme
10,79,Taking COVID vaccine may prevent you from entering China: Report 
10,79,"People above 45 years with comorbidities will need doctor certificate, says task force member "
10,79,"From March 1, Indians above the age of 60 and those above 45 years of age with co-morbidity will get access to the COVID19 vaccine. Coronavirus COVIDVaccine COVIDVaccineRace'"
10,79,"RT : UN chief Antonio Guterres voices appreciation for India's leadership in fight against COVID-19, vaccine assistance"
10,79,"India: Over 3 lakh beneficiaries receive 2nd vaccine dose, tally reaches 1.14 crore. IndiaFightsCorona "
10,79,"RT : Bharat Biotech to come up with Phase-3 efficacy data of Covaxin in next two weeks, company to ramp up its production capacit'"
10,79,"RT : Bharat Biotech to come up with Phase-3 efficacy data of Covaxin in next two weeks, company to ramp up its production capacit'"
10,79,"RT : Bharat Biotech to come up with Phase-3 efficacy data of Covaxin in next two weeks, company to ramp up its production capacit'"
10,79,"RT : Bharat Biotech to come up with Phase-3 efficacy data of Covaxin in next two weeks, company to ramp up its production capacit'"
10,79,"Bharat Biotech to come up with Phase-3 efficacy data of Covaxin in next two weeks, company to ramp up its production capacity to 40 million doses per month. Covax Covaxin Covid19 vaccine'"
10,79,"UN chief Antonio Guterres voices appreciation for India's leadership in fight against COVID-19, vaccine assistance"
10,79,Pharma wrap: Why India should consider extension of interval between two doses of Covishield vaccine 
10,79,"India has been a global leader in pandemic response efforts having provided critical medicines, diagnostic kits, ventilators and PPE to over 150 countries, says UN chief Antonio Guterres.COVID19 Coronavirus Vaccine'"
10,79,"India gives 1 crore+ vaccine jabs in 34 days, 2nd fastest after US"
10,79,The Frontline warriors of MaduraiAirport (CISF) recieved their first shot of COVID19 vaccine.The vaccine will be given in different batches to all the CISF personnel.vaccineaaicaresIndiaFightsCorona COVID19 medicine _Official   
10,79,Sri Lanka to procure 10 million doses of COVID-19 vaccine from India: Official 
10,79,"A new Correspondence reports early findings from a study of the Pfizer vaccine in health-care workers in Israel, suggesting early reductions in COVID-19 infection and symptomatic rates following first dose. Read "
11,75,I need some of this vaccine to go back in time and stop myself from playing Genshin 
11,75,Bahrain authorises Johnson and Johnson COVID-19 vaccine for emergency use COVID19 Vaccination Bahrain 
11,75,Everyone on poll duty to get COVID-19 vaccine before assembly elections: Election Commission ElectionCommision CovidUpdates AssemblyElections2021 
11,75,   _Bangalore NCBS also the organization PM's Scientific Advisor headed. His information on COVID19 efforts worldwide so poor that he suggested countries other than India had a mix-and-match vaccine regimen 
11,75,"  CoWin 2.0 is getting ready for the 1 Mar rollout, suggesting centralized tracking and use of immunization information "
11,75,"RT : Bihari's giving traditional welcome to BJP campaign vehicle Vaccine will be required to TT, once they get welcome'"
11,75,"Johnson and Johnson's single-shot vaccine proved effective, says FDA COVID19 Vaccination "
11,75,It's one thing to say that the survival rate of covid-19 is over 95%. It's quite another to lose a loved one because of it. It's similar to saying that the chances of adverse side effects of the vaccine is very low but then lose a loved one because of it.'
11,75,"RT : All above 60 years of age, 45-plus with other illnesses to get COVID-19 vaccine from March 1 "
11,75,"All above 60 years of age, 45-plus with other illnesses to get COVID-19 vaccine from March 1 "
11,75,"RT :  _rao  Oct 2020 is when adjuvant deal with US-based ViroVax was reported, whilst vacc'"
11,75," _rao  Oct 2020 is when adjuvant deal with US-based ViroVax was reported, whilst vaccine candidate was said to be ready even in Jul 2020 "
11,75," Not true. Despite the emergency approval in clinical trial mode' being granted on account of possible efficacy against variants, there's now an implicit admission "
11,75,"RT :   10% of the doses of vaccine injected thus far belong to Covaxin, with a dozen states-UTs'"
11,75,"  10% of the doses of vaccine injected thus far belong to Covaxin, with a dozen states-UTs reporting 1% or lower uptake "
11,75,"  UAE's wide-usage vaccine is the Sinopharm, which they appear to have cleared for 'concierge services' to dangle and attract vaccine tourists "
11,75,RT :   Apart from Covaxin - for whose Phase-3 results Govt is likely waiting - the vacuum in vaccinating'
11,75,RT :   Apart from Covaxin - for whose Phase-3 results Govt is likely waiting - the vacuum in vaccinating'
11,75,  Apart from Covaxin - for whose Phase-3 results Govt is likely waiting - the vacuum in vaccinating also buys time for Gujarat-based ZydusCadila's vaccine candidate.'
11,75,"RT 21393680:   Why can't India just approve the Pfizer vaccine which Is approved by WHO, and much less'"
11,75,"  Why can't India just approve the Pfizer vaccine which Is approved by WHO, and much less harmful and highly effective against covid 19, instead gov gives us no choice but to take covishield whether we like it or not.'"
11,75,  _INDIA Definitely  largest vaccination drive is fully supported by Trained Nurses Association of India.We are using all our channels to promote all to take the vaccine and being role models to all others to take vaccination.Also we are volunteering to be vaccinators'
11,76,I need some of this vaccine to go back in time and stop myself from playing Genshin 
